"","ID","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition_num"
"430",430,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","<=2 miles",4,"Life Sciences",339,"very high","Male","Very High (81-110)","medium",2,"Manufacturing Director","low","Married","low-Medium (4001-7000)",23687,6,"No",13,"high","medium",1,13,3,"high","Medium (11-15 Years)",9,5,9,0
"431",431,"18 to 28","No","Travel_Rarely","Very High (1151-1500)","Sales","<=2 miles",3,"Life Sciences",437,"very high","Male","High (61-80)","high",2,"Sales Executive","high","Single","low-Medium (4001-7000)",5242,1,"Yes",11,"high","low",0,5,3,"high","Low(0-5 Years)",4,0,4,0
"432",432,"40 to 50","No","Non-Travel","Medium (451-800)","Research & Development",">=16",2,"Life Sciences",1340,"high","Male","High (61-80)","high",1,"Research Scientist","high","Divorced","Low(1000-4000)",8532,9,"No",16,"high","medium",1,6,0,"high","Low(0-5 Years)",2,0,0,0
"433",433,"40 to 50","Yes","Travel_Frequently","Very High (1151-1500)","Research & Development",">=16",2,"Life Sciences",1420,"low","Male","Very High (81-110)","medium",2,"Laboratory Technician","low","Single","low-Medium (4001-7000)",22710,3,"No",20,"very high","low",0,20,2,"high","Low(0-5 Years)",3,1,3,1
"434",434,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","3-5 miles",3,"Technical Degree",1762,"very high","Female","Very High (81-110)","medium",1,"Research Scientist","low","Divorced","Low(1000-4000)",10007,1,"No",13,"high","high",1,1,2,"high","Low(0-5 Years)",0,0,0,0
"435",435,"40 to 50","No","Travel_Rarely","Medium (451-800)","Sales","10-15 miles",4,"Marketing",954,"low","Male","High (61-80)","medium",3,"Sales Executive","medium","Divorced","Medium (7001-10000)",20652,2,"No",12,"high","medium",1,11,2,"medium","Low(0-5 Years)",0,0,0,0
"436",436,"18 to 28","No","Travel_Rarely","High (801-1150)","Sales","6-9 miles",4,"Marketing",458,"medium","Female","Medium (41-60)","high",2,"Sales Executive","medium","Married","low-Medium (4001-7000)",3415,1,"No",18,"high","low",1,8,3,"high","low-Medium (6-10 Years)",7,0,7,0
"437",437,"18 to 28","Yes","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",4,"Medical",828,"high","Male","Medium (41-60)","high",1,"Research Scientist","high","Single","low-Medium (4001-7000)",16374,6,"No",17,"high","very high",0,5,3,"medium","Low(0-5 Years)",2,2,1,1
"438",438,"18 to 28","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",3,"Medical",1952,"high","Male","Very High (81-110)","high",1,"Laboratory Technician","low","Single","Low(1000-4000)",20006,0,"No",13,"high","very high",0,8,6,"medium","low-Medium (6-10 Years)",7,7,6,0
"439",439,"40 to 50","Yes","Travel_Rarely","High (801-1150)","Sales","3-5 miles",2,"Marketing",47,"low","Male","Very High (81-110)","medium",1,"Sales Representative","high","Married","Low(1000-4000)",3810,1,"Yes",14,"high","high",0,3,2,"high","Low(0-5 Years)",2,0,2,1
"440",440,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",4,"Life Sciences",724,"medium","Female","Low(0-40)","very high",2,"Healthcare Representative","very high","Single","Medium (7001-10000)",19383,0,"No",13,"high","high",0,10,4,"medium","low-Medium (6-10 Years)",7,1,8,0
"441",441,"29 to 39","No","Travel_Frequently","Very High (1151-1500)","Research & Development","<=2 miles",2,"Life Sciences",1235,"very high","Female","Low(0-40)","high",2,"Research Scientist","high","Single","low-Medium (4001-7000)",2338,4,"Yes",14,"high","very high",0,10,2,"high","low-Medium (6-10 Years)",7,0,7,0
"442",442,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",4,"Medical",1709,"very high","Female","Medium (41-60)","high",1,"Laboratory Technician","high","Married","Low(1000-4000)",25412,9,"No",17,"high","high",1,9,2,"high","Low(0-5 Years)",3,1,2,0
"443",443,"18 to 28","Yes","Travel_Rarely","Medium (451-800)","Research & Development","<=2 miles",4,"Life Sciences",364,"low","Male","High (61-80)","high",1,"Laboratory Technician","high","Single","Low(1000-4000)",14935,2,"No",11,"high","high",0,5,5,"low","Low(0-5 Years)",0,0,0,1
"444",444,"40 to 50","No","Travel_Rarely","Medium (451-800)","Human Resources","<=2 miles",3,"Life Sciences",1683,"high","Female","Medium (41-60)","high",1,"Human Resources","very high","Divorced","Low(1000-4000)",4167,4,"Yes",18,"high","low",3,8,2,"high","Low(0-5 Years)",2,2,2,0
"445",445,"40 to 50","No","Travel_Rarely","Medium (451-800)","Research & Development","<=2 miles",4,"Medical",1789,"high","Male","Medium (41-60)","high",5,"Research Director","very high","Divorced","Very High (16001-19999)",14218,7,"Yes",17,"high","high",1,24,3,"high","Low(0-5 Years)",1,2,2,0
"446",446,"40 to 50","No","Travel_Rarely","Medium (451-800)","Research & Development","<=2 miles",3,"Technical Degree",1438,"low","Male","High (61-80)","high",1,"Research Scientist","very high","Married","Low(1000-4000)",10205,7,"No",12,"high","high",1,17,2,"medium","low-Medium (6-10 Years)",5,1,2,0
"447",447,"29 to 39","No","Travel_Frequently","Very High (1151-1500)","Research & Development","<=2 miles",3,"Life Sciences",1668,"very high","Male","Very High (81-110)","high",2,"Research Scientist","very high","Married","low-Medium (4001-7000)",9867,7,"No",15,"high","very high",2,19,4,"very high","Medium (11-15 Years)",11,2,9,0
"448",448,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development","10-15 miles",3,"Medical",1803,"medium","Male","Very High (81-110)","very high",2,"Healthcare Representative","low","Married","low-Medium (4001-7000)",5696,5,"No",18,"high","high",2,10,2,"medium","Low(0-5 Years)",0,0,0,0
"449",449,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development",">=16",5,"Life Sciences",79,"very high","Female","Medium (41-60)","high",2,"Laboratory Technician","very high","Single","Low(1000-4000)",5456,1,"No",11,"high","very high",0,10,2,"high","low-Medium (6-10 Years)",3,9,9,0
"450",450,"40 to 50","No","Non-Travel","Low(100-450)","Sales",">=16",3,"Marketing",1612,"low","Male","Medium (41-60)","medium",2,"Sales Executive","low","Married","low-Medium (4001-7000)",24162,1,"No",15,"high","low",1,10,2,"high","low-Medium (6-10 Years)",7,4,5,0
"451",451,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","10-15 miles",2,"Medical",2009,"medium","Female","Very High (81-110)","high",2,"Healthcare Representative","very high","Married","low-Medium (4001-7000)",21653,0,"Yes",13,"high","low",1,10,6,"high","low-Medium (6-10 Years)",7,8,1,0
"452",452,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",3,"Life Sciences",1475,"very high","Male","Medium (41-60)","high",1,"Research Scientist","medium","Single","Low(1000-4000)",21158,1,"No",13,"high","high",0,6,3,"medium","Low(0-5 Years)",2,1,3,0
"453",453,"29 to 39","Yes","Travel_Rarely","Low(100-450)","Sales",">=16",3,"Life Sciences",1797,"high","Male","Very High (81-110)","high",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",13492,1,"Yes",18,"high","very high",0,10,2,"high","low-Medium (6-10 Years)",7,7,7,1
"454",454,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","10-15 miles",4,"Marketing",1924,"medium","Male","Medium (41-60)","high",2,"Sales Executive","high","Single","low-Medium (4001-7000)",10410,1,"No",14,"high","medium",0,10,2,"medium","low-Medium (6-10 Years)",4,0,9,0
"455",455,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",4,"Life Sciences",664,"very high","Female","Low(0-40)","medium",4,"Manager","low","Married","High (13001-16000)",17997,7,"No",11,"high","low",1,21,3,"low","Low(0-5 Years)",2,0,2,0
"456",456,"40 to 50","No","Travel_Rarely","Medium (451-800)","Sales","6-9 miles",4,"Medical",1740,"medium","Male","Very High (81-110)","high",5,"Manager","medium","Single","Very High (16001-19999)",4349,1,"No",14,"high","medium",0,21,3,"medium","High (21-25 Years)",8,12,8,0
"457",457,"29 to 39","No","Travel_Rarely","High (801-1150)","Sales","3-5 miles",4,"Life Sciences",1673,"low","Female","High (61-80)","high",2,"Sales Executive","very high","Married","low-Medium (4001-7000)",22589,1,"No",11,"high","low",2,10,2,"high","low-Medium (6-10 Years)",0,0,2,0
"458",458,"51 to 60","No","Travel_Rarely","Medium (451-800)","Sales",">=16",4,"Marketing",120,"high","Male","High (61-80)","high",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",8423,0,"Yes",22,"very high","very high",0,11,2,"low","low-Medium (6-10 Years)",7,1,0,0
"459",459,"51 to 60","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",2,"Life Sciences",1441,"low","Female","Very High (81-110)","high",1,"Research Scientist","low","Married","Low(1000-4000)",10494,2,"No",22,"very high","very high",1,5,3,"very high","Low(0-5 Years)",2,1,0,0
"460",460,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","3-5 miles",4,"Life Sciences",1435,"low","Male","Low(0-40)","medium",2,"Laboratory Technician","very high","Single","low-Medium (4001-7000)",22604,1,"No",16,"high","high",0,10,2,"medium","low-Medium (6-10 Years)",4,1,8,0
"461",461,"40 to 50","No","Travel_Frequently","Very High (1151-1500)","Research & Development","3-5 miles",2,"Other",591,"medium","Male","Very High (81-110)","high",1,"Laboratory Technician","high","Married","Low(1000-4000)",9260,4,"No",17,"high","very high",1,8,4,"high","Low(0-5 Years)",2,2,0,0
"462",462,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","6-9 miles",3,"Life Sciences",1659,"low","Male","High (61-80)","high",1,"Laboratory Technician","medium","Single","Low(1000-4000)",10950,2,"No",11,"high","high",0,15,4,"high","Low(0-5 Years)",3,1,3,0
"463",463,"40 to 50","No","Travel_Frequently","High (801-1150)","Sales","10-15 miles",3,"Marketing",174,"high","Female","High (61-80)","high",3,"Sales Executive","very high","Single","Medium (7001-10000)",6645,4,"No",11,"high","very high",0,16,3,"high","Low(0-5 Years)",2,2,1,0
"464",464,"29 to 39","No","Travel_Frequently","Low(100-450)","Research & Development",">=16",1,"Technical Degree",1736,"very high","Female","Low(0-40)","high",2,"Manufacturing Director","very high","Single","low-Medium (4001-7000)",6670,2,"No",20,"very high","very high",0,9,3,"medium","Low(0-5 Years)",4,1,4,0
"465",465,"40 to 50","Yes","Travel_Frequently","High (801-1150)","Research & Development",">=16",3,"Technical Degree",1767,"high","Male","Low(0-40)","medium",1,"Research Scientist","high","Married","Low(1000-4000)",15587,9,"Yes",16,"high","very high",1,6,4,"high","Low(0-5 Years)",0,0,0,1
"466",466,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",3,"Life Sciences",24,"very high","Male","Medium (41-60)","high",1,"Research Scientist","very high","Single","Low(1000-4000)",4306,5,"Yes",11,"high","high",0,6,3,"high","Low(0-5 Years)",2,1,2,0
"467",467,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales","<=2 miles",4,"Life Sciences",1556,"high","Male","High (61-80)","high",1,"Sales Representative","very high","Single","Low(1000-4000)",17001,3,"Yes",21,"very high","very high",0,7,3,"medium","Low(0-5 Years)",2,1,2,0
"468",468,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","6-9 miles",3,"Life Sciences",97,"medium","Female","Medium (41-60)","very high",1,"Laboratory Technician","very high","Married","Low(1000-4000)",22002,3,"No",12,"high","medium",0,5,3,"high","Low(0-5 Years)",0,0,0,0
"469",469,"18 to 28","Yes","Non-Travel","Low(100-450)","Sales",">=16",2,"Medical",1037,"medium","Male","High (61-80)","low",2,"Sales Executive","low","Single","low-Medium (4001-7000)",21813,8,"No",18,"high","very high",0,7,6,"high","Low(0-5 Years)",2,2,2,1
"470",470,"51 to 60","No","Travel_Rarely","High (801-1150)","Research & Development","10-15 miles",2,"Medical",250,"very high","Female","Medium (41-60)","very high",2,"Manufacturing Director","low","Divorced","low-Medium (4001-7000)",26250,1,"No",11,"high","high",2,5,3,"high","Low(0-5 Years)",2,1,3,0
"471",471,"18 to 28","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",4,"Technical Degree",1931,"medium","Male","Medium (41-60)","high",1,"Research Scientist","medium","Married","Low(1000-4000)",6073,1,"No",11,"high","high",1,6,3,"medium","Low(0-5 Years)",3,1,2,0
"472",472,"29 to 39","Yes","Travel_Frequently","Medium (451-800)","Research & Development",">=16",2,"Life Sciences",1868,"very high","Male","High (61-80)","medium",1,"Research Scientist","very high","Single","Low(1000-4000)",14753,1,"Yes",24,"very high","medium",0,1,3,"medium","Low(0-5 Years)",0,1,0,1
"473",473,"40 to 50","No","Travel_Rarely","Low(100-450)","Research & Development","6-9 miles",4,"Other",101,"very high","Male","Medium (41-60)","high",3,"Research Director","low","Married","High (13001-16000)",15067,4,"Yes",14,"high","medium",0,17,3,"very high","Low(0-5 Years)",0,0,0,0
"474",474,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",3,"Medical",192,"high","Male","Very High (81-110)","high",1,"Research Scientist","very high","Single","Low(1000-4000)",9752,5,"No",13,"high","medium",0,9,2,"medium","low-Medium (6-10 Years)",5,0,3,0
"475",475,"18 to 28","No","Travel_Rarely","High (801-1150)","Research & Development","10-15 miles",2,"Life Sciences",1102,"low","Male","Medium (41-60)","high",1,"Laboratory Technician","high","Divorced","Low(1000-4000)",22482,1,"No",16,"high","very high",1,4,5,"medium","Low(0-5 Years)",2,2,2,0
"476",476,"40 to 50","No","Travel_Frequently","Very High (1151-1500)","Sales","3-5 miles",4,"Marketing",62,"low","Male","Very High (81-110)","high",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",20445,4,"Yes",21,"very high","high",0,14,4,"high","low-Medium (6-10 Years)",6,0,8,0
"477",477,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales",">=16",4,"Marketing",868,"very high","Male","High (61-80)","medium",2,"Sales Executive","high","Divorced","low-Medium (4001-7000)",24558,4,"No",19,"high","very high",2,9,2,"high","Low(0-5 Years)",0,0,0,0
"478",478,"18 to 28","No","Travel_Rarely","Medium (451-800)","Sales",">=16",2,"Medical",618,"low","Male","Medium (41-60)","high",2,"Sales Executive","high","Divorced","low-Medium (4001-7000)",4267,5,"No",12,"high","low",2,8,5,"high","Low(0-5 Years)",0,0,0,0
"479",479,"51 to 60","No","Travel_Rarely","Low(100-450)","Research & Development","6-9 miles",4,"Other",1409,"high","Female","Medium (41-60)","high",1,"Laboratory Technician","low","Married","Low(1000-4000)",17363,9,"No",13,"high","high",0,12,2,"low","Low(0-5 Years)",4,0,4,0
"480",480,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","10-15 miles",3,"Life Sciences",2017,"high","Female","Medium (41-60)","very high",3,"Research Director","very high","Married","High (13001-16000)",15471,1,"Yes",25,"very high","low",1,16,2,"high","Medium-High (16-20 Years)",11,6,8,0
"481",481,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",3,"Life Sciences",1954,"low","Male","Very High (81-110)","high",2,"Healthcare Representative","low","Married","low-Medium (4001-7000)",6225,0,"No",12,"high","low",1,6,5,"medium","Low(0-5 Years)",3,0,2,0
"482",482,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","10-15 miles",4,"Life Sciences",895,"very high","Male","Medium (41-60)","high",1,"Research Scientist","very high","Married","Low(1000-4000)",14871,3,"Yes",19,"high","medium",1,8,2,"high","low-Medium (6-10 Years)",4,0,2,0
"483",483,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development",">=16",4,"Other",1932,"high","Male","Very High (81-110)","medium",2,"Research Scientist","very high","Married","low-Medium (4001-7000)",26496,1,"Yes",15,"high","medium",0,16,3,"high","Medium (11-15 Years)",10,6,11,0
"484",484,"51 to 60","No","Travel_Rarely","Medium (451-800)","Research & Development","6-9 miles",3,"Life Sciences",241,"high","Female","High (61-80)","high",1,"Research Scientist","low","Divorced","low-Medium (4001-7000)",13939,4,"Yes",18,"high","high",1,19,3,"high","Low(0-5 Years)",2,2,2,0
"485",485,"51 to 60","Yes","Travel_Rarely","Low(100-450)","Research & Development",">=16",4,"Medical",165,"very high","Female","Very High (81-110)","high",3,"Healthcare Representative","very high","Married","Medium-High (10001-13000)",3465,1,"No",12,"high","very high",1,40,3,"medium",">30 Years",10,15,6,1
"486",486,"40 to 50","Yes","Travel_Rarely","High (801-1150)","Sales","<=2 miles",2,"Life Sciences",1,"medium","Female","Very High (81-110)","high",2,"Sales Executive","very high","Single","low-Medium (4001-7000)",19479,8,"Yes",11,"high","low",0,8,0,"low","low-Medium (6-10 Years)",4,0,5,1
"487",487,"29 to 39","Yes","Travel_Rarely","High (801-1150)","Sales","6-9 miles",3,"Medical",1876,"medium","Male","Very High (81-110)","high",1,"Sales Representative","very high","Single","Low(1000-4000)",16019,1,"No",13,"high","high",0,1,3,"medium","Low(0-5 Years)",0,0,0,1
"488",488,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development",">=16",1,"Life Sciences",16,"low","Male","Low(0-40)","high",1,"Research Scientist","high","Divorced","Low(1000-4000)",15170,1,"No",17,"high","very high",1,5,1,"medium","Low(0-5 Years)",2,4,3,0
"489",489,"40 to 50","Yes","Travel_Rarely","Medium (451-800)","Research & Development","<=2 miles",2,"Life Sciences",64,"low","Male","Very High (81-110)","medium",3,"Laboratory Technician","high","Single","low-Medium (4001-7000)",19294,9,"Yes",13,"high","very high",0,23,2,"high","Low(0-5 Years)",0,0,0,1
"490",490,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",2,"Medical",757,"medium","Female","Very High (81-110)","high",2,"Healthcare Representative","high","Single","low-Medium (4001-7000)",7360,3,"No",11,"high","very high",0,10,2,"high","Low(0-5 Years)",1,4,3,0
"491",491,"40 to 50","No","Travel_Frequently","Medium (451-800)","Research & Development","10-15 miles",4,"Life Sciences",396,"high","Female","Low(0-40)","high",5,"Research Director","low","Single","Very High (16001-19999)",25594,9,"Yes",11,"high","very high",0,22,4,"high","Low(0-5 Years)",2,1,2,0
"492",492,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",3,"Life Sciences",1317,"very high","Female","Medium (41-60)","high",4,"Research Director","low","Married","Very High (16001-19999)",22422,4,"Yes",11,"high","medium",0,25,2,"high","Low(0-5 Years)",2,1,2,0
"493",493,"29 to 39","No","Travel_Rarely","Medium (451-800)","Sales","10-15 miles",3,"Medical",1650,"high","Male","Medium (41-60)","medium",2,"Sales Executive","high","Single","low-Medium (4001-7000)",23413,9,"No",11,"high","high",0,8,2,"high","Low(0-5 Years)",2,1,4,0
"494",494,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development",">=16",3,"Life Sciences",1529,"very high","Female","Very High (81-110)","medium",3,"Healthcare Representative","medium","Single","Medium (7001-10000)",21195,1,"No",19,"high","very high",0,11,3,"low","Medium (11-15 Years)",8,3,3,0
"495",495,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales","10-15 miles",4,"Technical Degree",1880,"medium","Female","High (61-80)","medium",2,"Sales Executive","high","Married","low-Medium (4001-7000)",6060,1,"Yes",13,"high","low",1,10,4,"high","low-Medium (6-10 Years)",9,1,7,0
"496",496,"51 to 60","No","Travel_Rarely","Very High (1151-1500)","Sales",">=16",4,"Marketing",851,"low","Female","High (61-80)","high",4,"Manager","high","Married","Very High (16001-19999)",5594,2,"No",14,"high","high",1,29,2,"medium","Medium-High (16-20 Years)",6,4,17,0
"497",497,"40 to 50","No","Travel_Rarely","Low(100-450)","Research & Development","10-15 miles",2,"Life Sciences",544,"low","Male","High (61-80)","high",1,"Research Scientist","very high","Married","Low(1000-4000)",9655,3,"No",21,"very high","very high",2,8,3,"medium","Low(0-5 Years)",2,0,2,0
"498",498,"29 to 39","No","Travel_Frequently","High (801-1150)","Research & Development","6-9 miles",3,"Medical",403,"medium","Male","Medium (41-60)","high",1,"Research Scientist","very high","Married","Low(1000-4000)",11411,1,"Yes",12,"high","high",3,4,3,"medium","Low(0-5 Years)",2,1,2,0
"499",499,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",3,"Medical",13,"high","Male","Very High (81-110)","high",2,"Healthcare Representative","high","Married","low-Medium (4001-7000)",16577,6,"No",13,"high","medium",2,17,3,"medium","low-Medium (6-10 Years)",7,7,7,0
"500",500,"29 to 39","No","Non-Travel","Very High (1151-1500)","Sales",">=16",4,"Life Sciences",1929,"low","Female","Low(0-40)","low",2,"Sales Executive","high","Married","low-Medium (4001-7000)",3987,6,"No",19,"high","high",1,10,1,"high","Low(0-5 Years)",2,1,2,0
"501",501,"51 to 60","Yes","Travel_Rarely","Medium (451-800)","Research & Development","6-9 miles",4,"Medical",1360,"high","Female","Medium (41-60)","medium",3,"Manufacturing Director","low","Married","Medium-High (10001-13000)",12023,7,"Yes",14,"high","very high",0,31,0,"medium","low-Medium (6-10 Years)",9,5,9,1
"502",502,"18 to 28","Yes","Travel_Rarely","Low(100-450)","Research & Development",">=16",3,"Life Sciences",19,"high","Male","Medium (41-60)","medium",1,"Laboratory Technician","high","Single","Low(1000-4000)",12947,5,"Yes",14,"high","medium",0,6,4,"high","Low(0-5 Years)",2,0,3,1
"503",503,"40 to 50","Yes","Travel_Frequently","Medium (451-800)","Sales","6-9 miles",2,"Medical",1691,"very high","Female","Very High (81-110)","high",1,"Sales Representative","high","Married","Low(1000-4000)",11740,2,"Yes",11,"high","high",2,19,3,"high","low-Medium (6-10 Years)",7,7,7,1
"504",504,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",4,"Life Sciences",20,"medium","Female","Medium (41-60)","very high",3,"Manufacturing Director","low","Divorced","Medium (7001-10000)",10195,1,"No",11,"high","high",1,10,1,"high","low-Medium (6-10 Years)",9,8,8,0
"505",505,"40 to 50","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",4,"Medical",1443,"low","Female","Very High (81-110)","high",4,"Research Director","high","Married","Very High (16001-19999)",26703,3,"No",19,"high","medium",2,26,2,"very high","Medium-High (16-20 Years)",17,5,6,0
"506",506,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","3-5 miles",2,"Life Sciences",1555,"very high","Female","High (61-80)","medium",2,"Research Scientist","medium","Married","low-Medium (4001-7000)",15624,3,"No",12,"high","low",1,12,2,"high","low-Medium (6-10 Years)",1,2,5,0
"507",507,"29 to 39","Yes","Travel_Rarely","Low(100-450)","Sales","3-5 miles",3,"Marketing",485,"very high","Female","Low(0-40)","high",1,"Sales Representative","high","Single","Low(1000-4000)",9150,1,"Yes",13,"high","medium",0,1,2,"high","Low(0-5 Years)",0,0,0,1
"508",508,"51 to 60","No","Travel_Frequently","Medium (451-800)","Sales","<=2 miles",3,"Marketing",1391,"medium","Male","Medium (41-60)","high",3,"Sales Executive","medium","Married","Medium-High (10001-13000)",15395,2,"No",11,"high","medium",0,14,5,"high","Low(0-5 Years)",2,3,2,0
"509",509,"29 to 39","No","Travel_Frequently","Low(100-450)","Sales","3-5 miles",4,"Marketing",311,"low","Male","Medium (41-60)","high",1,"Sales Representative","very high","Divorced","Low(1000-4000)",2539,4,"No",17,"high","high",1,13,2,"high","low-Medium (6-10 Years)",8,5,8,0
"510",510,"40 to 50","Yes","Travel_Rarely","Very High (1151-1500)","Research & Development","10-15 miles",3,"Technical Degree",58,"medium","Female","Medium (41-60)","high",5,"Research Director","high","Married","Very High (16001-19999)",16280,1,"No",12,"high","very high",0,23,0,"high","High (21-25 Years)",15,15,8,1
"511",511,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","10-15 miles",2,"Life Sciences",2041,"low","Female","Very High (81-110)","high",2,"Sales Executive","very high","Married","low-Medium (4001-7000)",5982,1,"No",11,"high","high",1,10,1,"high","low-Medium (6-10 Years)",7,1,9,0
"512",512,"29 to 39","No","Non-Travel","Very High (1151-1500)","Research & Development",">=16",2,"Life Sciences",1397,"high","Male","High (61-80)","high",3,"Healthcare Representative","high","Married","Medium-High (10001-13000)",3449,3,"No",21,"very high","medium",1,13,2,"high","low-Medium (6-10 Years)",4,0,5,0
"513",513,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development","10-15 miles",3,"Life Sciences",1720,"low","Male","Medium (41-60)","high",1,"Research Scientist","high","Married","Low(1000-4000)",17360,6,"No",13,"high","low",1,10,3,"medium","Low(0-5 Years)",2,1,3,0
"514",514,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development","<=2 miles",2,"Life Sciences",73,"low","Female","Very High (81-110)","high",3,"Research Director","very high","Single","High (13001-16000)",15146,1,"Yes",12,"high","high",0,15,1,"high","Medium (11-15 Years)",14,8,12,0
"515",515,"18 to 28","No","Non-Travel","High (801-1150)","Sales","6-9 miles",2,"Medical",484,"low","Male","Low(0-40)","high",1,"Sales Representative","very high","Single","Low(1000-4000)",2851,1,"No",24,"very high","high",0,3,3,"medium","Low(0-5 Years)",2,2,2,0
"516",516,"51 to 60","No","Travel_Rarely","Very High (1151-1500)","Research & Development","<=2 miles",3,"Medical",408,"very high","Male","Very High (81-110)","low",2,"Manufacturing Director","medium","Divorced","low-Medium (4001-7000)",16321,5,"No",18,"high","very high",1,13,3,"high","Low(0-5 Years)",1,1,2,0
"517",517,"18 to 28","Yes","Travel_Rarely","High (801-1150)","Sales",">=16",2,"Marketing",952,"high","Male","Low(0-40)","medium",1,"Sales Representative","medium","Married","Low(1000-4000)",18798,1,"Yes",18,"high","high",3,1,2,"high","Low(0-5 Years)",0,0,0,1
"518",518,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development","10-15 miles",3,"Medical",1768,"medium","Male","Medium (41-60)","high",1,"Laboratory Technician","medium","Divorced","Low(1000-4000)",8952,8,"No",22,"very high","medium",3,7,6,"medium","Low(0-5 Years)",3,0,4,0
"519",519,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",3,"Technical Degree",1311,"low","Female","Medium (41-60)","medium",2,"Laboratory Technician","very high","Married","low-Medium (4001-7000)",23631,0,"No",12,"high","low",1,10,6,"high","low-Medium (6-10 Years)",2,6,7,0
"520",520,"51 to 60","Yes","Travel_Rarely","Very High (1151-1500)","Research & Development",">=16",2,"Life Sciences",1907,"low","Male","Very High (81-110)","high",1,"Laboratory Technician","very high","Single","Low(1000-4000)",10261,1,"No",16,"high","very high",0,5,3,"high","Low(0-5 Years)",2,1,0,1
"521",521,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development",">=16",4,"Life Sciences",838,"high","Female","Very High (81-110)","medium",1,"Research Scientist","very high","Single","Low(1000-4000)",8306,1,"No",16,"high","high",0,6,3,"high","Low(0-5 Years)",2,1,3,0
"522",522,"18 to 28","Yes","Travel_Rarely","Low(100-450)","Research & Development",">=16",3,"Medical",1604,"high","Male","Medium (41-60)","high",1,"Laboratory Technician","medium","Married","Low(1000-4000)",7324,1,"Yes",17,"high","high",3,1,3,"high","Low(0-5 Years)",1,0,0,1
"523",523,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development","6-9 miles",3,"Life Sciences",86,"medium","Male","Medium (41-60)","high",3,"Research Scientist","low","Divorced","Medium (7001-10000)",18787,2,"No",17,"high","high",1,25,2,"high","Low(0-5 Years)",0,0,0,0
